iter	RMSE
0	1151.50464
1	1110.722477
2	1072.574974
3	1036.677259
4	1004.015327
5	972.293951
6	942.0270366
7	913.9267723
8	887.4516151
9	862.4607149
10	838.8430571
11	817.0305711
12	796.0129681
13	776.0099084
14	757.556743
15	740.4763553
16	724.0589676
17	708.8937253
18	694.7921631
19	681.001982
20	668.4962376
21	656.4771658
22	644.5164853
23	634.0108328
24	623.9526814
25	614.933275
26	605.9031634
27	597.6241148
28	589.3226359
29	580.0924184
30	573.4569057
31	566.2187297
32	558.1072377
33	550.8701151
34	544.7184217
35	538.2741609
36	532.9613159
37	528.4472952
38	523.4403815
39	518.076189
40	513.1353538
41	508.0641781
42	503.8185406
43	499.7077759
44	494.7913925
45	490.5643027
46	487.4237047
47	484.2414536
48	480.2390067
49	477.4613153
50	474.7051945
51	471.9253552
52	468.6613933
53	465.6316971
54	462.4628096
55	460.3709932
56	458.1795425
57	455.2426731
58	453.2972437
59	451.364828
60	449.2134777
61	447.2880782
62	445.4321805
63	443.5109077
64	441.2616306
65	438.860757
66	437.3057556
67	435.7609332
68	433.7791067
69	431.9867966
70	429.6364072
71	428.1506128
72	426.0266601
73	424.8472007
74	423.2339127
75	421.8115164
76	420.5554904
77	419.0506026
78	417.8976494
79	416.7860762
80	415.7064451
81	414.520018
82	412.9417902
83	411.8672811
84	410.7058928
85	409.487534
86	408.4711679
87	407.6180981
88	406.7568742
89	405.4413912
90	404.2044878
91	403.0459479
92	401.9605424
93	400.9993388
94	399.5748095
95	398.5216899
96	397.2762295
97	396.3462764
98	395.5670019
99	394.8095951
100	393.8444971
101	393.0557443
102	392.3730237
103	391.7880201
104	390.9197718
105	390.0335472
106	389.1869557
107	388.4942852
108	387.7180873
109	386.7866627
110	386.0679735
111	385.1796912
112	384.1732899
113	383.6559454
114	382.9521643
115	382.3523039
116	381.5034821
117	380.811581
118	380.0863013
119	379.3429526
120	378.4802802
121	377.8604287
122	377.1987792
123	376.4390441
124	375.8529427
125	375.2644201
126	374.1594986
127	373.5710003
128	372.8947086
129	372.2945952
130	371.7337434
131	370.8340554
132	370.4682644
133	369.9260606
134	369.184807
