iter	Passed	Remaining
0	24	24300
1	58	29107
2	81	27057
3	103	25845
4	125	24887
5	144	23891
6	163	23166
7	182	22676
8	204	22481
9	223	22081
10	245	22093
11	265	21864
12	285	21705
13	309	21777
14	330	21683
15	350	21528
16	366	21197
17	386	21084
18	408	21081
19	433	21253
20	457	21311
21	481	21422
22	500	21280
23	521	21200
24	541	21107
25	558	20922
26	581	20954
27	603	20949
28	623	20877
29	646	20912
30	669	20926
31	693	20965
32	711	20856
33	737	20944
34	764	21078
35	786	21054
36	810	21090
37	836	21167
38	857	21124
39	881	21167
40	906	21214
41	927	21153
42	953	21210
43	976	21212
44	998	21194
45	1023	21225
46	1045	21191
47	1066	21162
48	1087	21107
49	1112	21145
50	1137	21172
51	1160	21164
52	1185	21174
53	1209	21191
54	1230	21140
55	1255	21168
56	1279	21162
57	1298	21094
58	1320	21059
59	1346	21088
60	1366	21034
61	1386	20975
62	1408	20948
63	1432	20948
64	1455	20936
65	1480	20952
66	1504	20954
67	1528	20942
68	1550	20919
69	1570	20871
70	1594	20861
71	1615	20821
72	1638	20802
73	1661	20794
74	1687	20811
75	1711	20803
76	1737	20829
77	1761	20825
78	1782	20785
79	1809	20810
80	1835	20820
81	1855	20766
82	1881	20785
83	1906	20792
84	1929	20768
85	1950	20728
86	1971	20684
87	1996	20691
88	2016	20638
89	2039	20619
90	2063	20610
91	2087	20598
92	2112	20604
93	2138	20608
94	2167	20651
95	2192	20647
96	2216	20637
97	2248	20698
98	2269	20655
99	2295	20661
100	2319	20644
101	2343	20633
102	2363	20587
103	2384	20547
104	2409	20535
105	2433	20527
106	2458	20520
107	2480	20488
108	2503	20463
109	2529	20462
110	2551	20431
111	2575	20417
112	2597	20388
113	2618	20353
114	2643	20344
115	2666	20320
116	2690	20306
117	2712	20276
118	2740	20288
119	2762	20260
120	2786	20244
121	2809	20222
122	2837	20231
123	2870	20279
124	2912	20384
125	2943	20415
126	2967	20397
127	2991	20382
128	3010	20327
129	3034	20310
130	3060	20304
131	3083	20279
132	3107	20256
133	3130	20233
134	3152	20200
135	3171	20150
136	3191	20106
137	3216	20093
138	3235	20043
139	3259	20025
140	3284	20012
141	3314	20024
142	3335	19986
143	3358	19966
144	3381	19940
145	3404	19913
146	3428	19891
147	3453	19880
148	3474	19843
149	3496	19815
150	3521	19801
151	3546	19786
152	3566	19746
153	3589	19716
154	3612	19692
155	3635	19667
156	3658	19646
157	3680	19614
158	3705	19600
159	3726	19566
160	3750	19542
161	3773	19518
162	3793	19478
163	3818	19465
164	3846	19464
165	3888	19538
166	3921	19562
167	3948	19553
168	3970	19522
169	3993	19496
170	4020	19489
171	4044	19471
172	4064	19431
173	4088	19406
174	4113	19390
175	4134	19355
176	4156	19328
177	4180	19307
178	4206	19291
179	4230	19272
180	4253	19244
181	4279	19232
182	4304	19215
183	4327	19191
184	4351	19169
185	4372	19137
186	4397	19118
187	4420	19091
188	4442	19063
189	4469	19055
190	4488	19010
191	4512	18990
192	4534	18958
193	4557	18935
194	4580	18910
195	4605	18891
196	4630	18873
197	4652	18844
198	4675	18819
199	4699	18796
200	4727	18791
201	4748	18760
202	4771	18732
203	4794	18709
204	4817	18681
205	4843	18667
206	4865	18637
207	4883	18595
208	4906	18567
209	4927	18534
210	4950	18510
211	4969	18472
212	4989	18433
213	5014	18417
214	5036	18388
215	5062	18374
216	5086	18353
217	5112	18338
218	5136	18318
219	5159	18292
220	5184	18275
221	5210	18260
222	5231	18227
223	5258	18215
224	5279	18186
225	5304	18165
226	5330	18150
227	5352	18124
228	5379	18111
229	5400	18080
230	5425	18060
231	5449	18039
232	5468	18000
233	5492	17979
234	5513	17946
235	5538	17931
236	5560	17900
237	5581	17868
238	5606	17850
239	5630	17830
240	5653	17805
241	5681	17794
242	5699	17756
243	5721	17728
244	5746	17709
245	5768	17681
246	5792	17660
247	5815	17634
248	5834	17597
249	5856	17569
250	5881	17550
251	5906	17530
252	5931	17512
253	5954	17487
254	5978	17466
255	6003	17447
256	6024	17416
257	6048	17394
258	6074	17379
259	6097	17354
260	6121	17332
261	6145	17311
262	6169	17289
263	6194	17269
264	6215	17239
265	6239	17217
266	6266	17203
267	6289	17177
268	6312	17153
269	6335	17128
270	6358	17104
271	6382	17081
272	6406	17060
273	6430	17037
274	6454	17017
275	6477	16992
276	6500	16968
277	6521	16938
278	6543	16911
279	6565	16882
280	6589	16859
281	6611	16833
282	6633	16805
283	6657	16784
284	6680	16760
285	6706	16742
286	6727	16714
287	6752	16692
288	6774	16667
289	6796	16639
290	6819	16616
291	6844	16594
292	6866	16568
293	6889	16544
294	6911	16517
295	6930	16483
296	6952	16456
297	6976	16435
298	6998	16407
299	7022	16386
300	7045	16361
301	7064	16329
302	7087	16304
303	7113	16286
304	7133	16255
305	7155	16229
306	7175	16197
307	7199	16176
308	7225	16157
309	7249	16135
310	7272	16112
311	7300	16097
312	7321	16069
313	7343	16043
314	7368	16022
315	7393	16004
316	7415	15976
317	7440	15957
318	7464	15935
319	7485	15907
320	7528	15925
321	7548	15894
322	7570	15867
323	7595	15846
324	7617	15821
325	7642	15799
326	7661	15769
327	7689	15753
328	7713	15731
329	7734	15704
330	7753	15671
331	7774	15642
332	7795	15614
333	7821	15596
334	7846	15576
335	7869	15552
336	7890	15523
337	7910	15494
338	7933	15468
339	7953	15439
340	7974	15411
341	7995	15382
342	8016	15355
343	8041	15335
344	8061	15305
345	8088	15288
346	8109	15260
347	8131	15234
348	8153	15208
349	8177	15186
350	8199	15161
351	8221	15135
352	8247	15116
353	8272	15095
354	8299	15078
355	8325	15059
356	8347	15034
357	8371	15012
358	8391	14983
359	8413	14957
360	8436	14932
361	8460	14910
362	8480	14881
363	8505	14861
364	8533	14845
365	8556	14822
366	8580	14800
367	8604	14776
368	8625	14749
369	8652	14732
370	8678	14714
371	8699	14686
372	8721	14659
373	8741	14630
374	8764	14607
375	8787	14583
376	8810	14559
377	8832	14534
378	8856	14512
379	8880	14488
380	8905	14468
381	8927	14442
382	8952	14422
383	8975	14398
384	8998	14374
385	9019	14346
386	9039	14318
387	9062	14294
388	9085	14269
389	9108	14246
390	9130	14221
391	9156	14201
392	9180	14179
393	9205	14158
394	9226	14131
395	9247	14104
396	9267	14076
397	9288	14049
398	9312	14026
399	9332	13998
400	9352	13970
401	9372	13942
402	9399	13924
403	9423	13901
404	9447	13879
405	9468	13852
406	9495	13835
407	9521	13815
408	9546	13794
409	9570	13772
410	9594	13750
411	9617	13726
412	9643	13705
413	9663	13678
414	9684	13651
415	9705	13624
416	9729	13602
417	9757	13585
418	9782	13565
419	9808	13544
420	9827	13515
421	9853	13495
422	9874	13469
423	9894	13441
424	9920	13421
425	9945	13400
426	9970	13378
427	9996	13359
428	10016	13332
429	10039	13308
430	10067	13290
431	10090	13267
432	10115	13246
433	10140	13224
434	10165	13203
435	10186	13176
436	10210	13154
437	10233	13130
438	10258	13108
439	10278	13082
440	10303	13060
441	10327	13037
442	10351	13015
443	10372	12989
444	10393	12962
445	10415	12937
446	10436	12910
447	10459	12888
448	10484	12865
449	10509	12844
450	10533	12822
451	10556	12798
452	10576	12770
453	10601	12749
454	10624	12725
455	10646	12701
456	10673	12682
457	10695	12657
458	10722	12637
459	10744	12612
460	10768	12590
461	10791	12566
462	10814	12543
463	10835	12517
464	10864	12500
465	10888	12477
466	10914	12457
467	10936	12431
468	10960	12409
469	10984	12386
470	11006	12361
471	11033	12342
472	11054	12316
473	11075	12291
474	11101	12270
475	11124	12246
476	11149	12225
477	11172	12200
478	11193	12175
479	11214	12149
480	11240	12128
481	11260	12101
482	11280	12074
483	11306	12054
484	11332	12032
485	11355	12009
486	11377	11984
487	11396	11957
488	11421	11935
489	11444	11911
490	11468	11888
491	11487	11861
492	11510	11837
493	11534	11815
494	11557	11791
495	11579	11766
496	11600	11740
497	11625	11718
498	11649	11695
499	11671	11671
500	11692	11646
501	11714	11621
502	11737	11597
503	11759	11572
504	11783	11550
505	11809	11529
506	11835	11508
507	11857	11484
508	11882	11462
509	11903	11436
510	11931	11417
511	11956	11395
512	11981	11374
513	12004	11350
514	12025	11325
515	12050	11303
516	12073	11279
517	12096	11256
518	12125	11237
519	12148	11214
